Code,Show Name,Location,Scene
/title/tt8884430/,Echo in the Canyon,"London, England, UK",
/title/tt0150915/,Hilary and Jackie,"Abbercrombe Square, Liverpool, Merseyside, England, UK",
/title/tt0150915/,Hilary and Jackie,"Formby Park, Liverpool, Merseyside, England, UK",(beach scenes)                        
/title/tt0150915/,Hilary and Jackie,"School Chapel, The Blue Coat School, Liverpool, Merseyside, England, UK",
/title/tt0150915/,Hilary and Jackie,"The Walker Art Gallery, Liverpool, Merseyside, England, UK",
/title/tt0150915/,Hilary and Jackie,"Corridor outside main hall, The Blue Coat School, Liverpool, Merseyside, England, UK",
/title/tt0150915/,Hilary and Jackie,"London, England, UK",
/title/tt0150915/,Hilary and Jackie,"Wales, UK","(Brithdir Mawr, Flintshire, Wales, UK)                        "
/title/tt9577852/,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,"1375 Gorham St, Lowell, Massachusetts, USA",(Edson Cemetery - Kerouac Grave)                        
/title/tt9577852/,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,"Plymouth, Massachusetts, USA",(location)                        
